Nom_vaccin;01-01-15;01-02-15;01-03-15;01-04-15;01-05-15;01-06-15;01-07-15;01-08-15;01-09-15;01-10-15;01-11-15;01-12-15;01-01-16;01-02-16;01-03-16;01-04-16;01-05-16;01-06-16;01-07-16;01-08-16;01-09-16;01-10-16;01-11-16;01-12-16;01-01-17;01-02-17;01-03-17;01-04-17;01-05-17;01-06-17;01-07-17;01-08-17;01-09-17;01-10-17;01-11-17;01-12-17;01-01-18;01-02-18;01-03-18;01-04-18;01-05-18;01-06-18;01-07-18;01-08-18;01-09-18;01-10-18;01-11-18;01-12-18;01-01-19;01-02-19;01-03-19;01-04-19;01-05-19;01-06-19;01-07-19;01-08-19;01-09-19;01-10-19;01-11-19;01-12-19;01-01-20;01-02-20;01-03-20;01-04-20;01-05-20;01-06-20;01-07-20;01-08-20;01-09-20;01-10-20;01-11-20;01-12-20;01-01-21;01-02-21;01-03-21;01-04-21;01-05-21;01-06-21;01-07-21;01-08-21;01-09-21;01-10-21;01-11-21;01-12-21;01-01-22;01-02-22;01-03-22;01-04-22;01-05-22;01-06-22;01-07-22;01-08-22;01-09-22;01-10-22;01-11-22;01-12-22;01-01-23;01-02-23;01-03-23;01-04-23;01-05-23;01-06-23;01-07-23;01-08-23;01-09-23;01-10-23;01-11-23;01-12-23;01-01-24;01-02-24;01-03-24;01-04-24;01-05-24;01-06-24
VACCIN TETAVAX MERIEUX;7;5;7;4;1;5;4;6;2;7;5;4;1;2;3;5;3;3;6;3;5;4;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VACCIN TP PASTEUR;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VAQTA;0;0;0;0;0;0;0;0;0;807;1910;3052;4658;4447;4504;4211;4935;4599;4734;5410;6876;4522;2971;5075;5151;2014;963;753;816;476;1494;2252;1203;1556;3889;3974;6459;6100;6573;6374;5760;5901;5377;3214;3007;3076;2314;2162;4778;5315;4270;4166;4056;4275;6385;2805;4004;4446;2883;3195;4585;4462;2250;397;680;1215;1058;810;1032;829;604;740;636;543;570;459;375;390;383;308;421;0;380;374;359;384;393;362;406;1137;1307;614;1023;1064;1176;1128;1706;1115;1370;1378;1851;1058;812;646;1267;2104;1737;2139;2555;2879;1577;1147;837;1467
VARILRIX;1701;1176;837;559;1378;2077;1690;993;1729;1495;2077;1741;1677;1827;2006;1845;1952;1996;1677;1160;1665;1526;1495;1490;1470;1373;1705;1618;1903;1853;1373;968;1477;1449;1248;1143;1590;1563;1970;1900;1911;2086;2184;1278;1562;1819;1622;1426;1530;1431;1626;1768;2093;2264;2285;1308;1837;1879;1533;1706;1701;1835;1766;758;983;1411;1429;997;1803;1721;1615;1668;1666;1747;1941;1727;1456;1823;1585;1081;1955;481;1893;1846;1710;1688;1877;1466;1860;1713;1708;1389;1895;1339;1280;1655;1965;1928;2299;2231;2226;2954;2858;2069;2507;1660;1135;924;927;1087;2373;2725;2936;3297
VARIVAX;1373;1572;2264;2573;2061;2405;1932;1120;1611;1529;1993;1593;1480;1817;1813;1817;1834;1989;1567;1146;1428;1339;1211;1233;1360;1288;1462;1468;1705;1949;1687;1246;1432;1540;1392;1388;1633;1642;1992;2004;2133;2208;1858;1344;1644;1877;1631;1604;1927;1795;2138;2815;2258;2475;2485;1618;1933;2000;1628;1635;1613;1308;1501;622;849;1259;1201;1008;1543;1488;1465;1594;1529;1713;2004;1699;1391;1657;1405;1103;1576;1851;1711;1676;1521;1581;2164;2289;2714;3422;2760;2010;2545;2311;2260;1974;2231;1899;2344;2144;2700;3239;2821;2117;3154;3823;4048;4036;4754;4682;4155;4692;4246;4396
VAXELIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2979;3285;4682;6024;6494;6346;7855;7246;8627;8817;9584;9105;9792;9230;11963;12555;11943;11912;13430;11661;12103;12717;12247;13945;14133;11416;15811;14288;14502;14105;14337;12691;15465;13412;12928;14920;13295;14113;17347;1647;16332;15994;16092;15664;19129;15501;17763;17512;16202;16206;20771;19216;18802;18229;20368;17425;20954;17027;19264;20177;18698;18322;22569;22495;20244;18996;21485;20198;21698;21949;23183;22913
VAXIGRIP;29478;6758;3769;2045;1016;1005;620;494;470;439263;2163649;671154;60319;16986;5136;2288;2095;1079;598;520;6877;1692257;1302068;318361;79762;8980;3065;1519;1981;1093;563;593;2087;1499128;1221209;314710;70506;8910;2814;1566;726;564;445;410;326;1816;937;-65;180;84;110;29;52;42;38;75;42;358;122;87;-15;25;3;2;5;15;5;3;1;179;178;146;110;41;7;5;1;6;8;2;3;15983;84;40;10;9;6;3;5;5;1;6;1;39;58;61;20;9;0;4;1;4;5;1;3;30;37;30;10;4;0;2;4;1
VAXIGRIPTETRA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;7;26;0;1;2;39;1676531;1639919;272300;27640;5213;7591;48843;20690;10175;4418;1859;1578;1588637;2069042;500954;107328;28705;6578;3058;1646;4291;2063;1224;1749;3670824;1341607;229523;145019;24148;7183;2997;1871;24378;19411;8111;4349;906;3186292;746418;120000;35010;11456;11784;30395;12473;6172;3489;2914;874875;2002736;964985;132720;16897;5678;17395;26806;10932;4850;2509;1804;661729;1316593;641822;130526;21152;4529;8712;31199;10106
VAXNEUVANCE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;39;5105;15544
ZOSTAVAX;0;0;0;0;0;194;596;437;1256;2284;2393;2563;1972;2081;2616;3084;4350;3485;2407;2065;3270;5526;5543;3719;2908;2259;2197;1510;2028;1889;1414;1334;2023;3100;2723;2122;2055;2102;2251;2004;1959;2041;1788;1337;2124;3113;3102;2409;2301;2015;2190;2374;2410;2233;1970;1582;2615;3063;2718;2615;2519;2456;1897;680;1555;2659;2246;1704;3004;3081;2511;2574;1883;1636;1323;767;879;1345;1338;1373;2092;858822;1802;1636;2073;2178;2840;2212;2496;2550;1967;1789;3159;2983;2729;2415;1910;2510;2982;2923;1839;3685;3229;3606;3697;2882;2814;2898;2790;2589;2452;2561;1902;1742
