DR19;annee;0-4ansH;0-4ansF;5-9ansH;5-9ansF;10-14ansH;10-14ansF;15-19ansH;15-19ansF;20-24ansH;20-24ansF;25-29ansH;25-29ansF;30-34ansH;30-34ansF;35-39ansH;35-39ansF;40-44ansH;40-44ansF;45-49ansH;45-49ansF;50-54ansH;50-54ansF;55-59ansH;55-59ansF;60-64ansH;60-64ansF;65-69ansH;65-69ansF;70-74ansH;70-74ansF;75-79ansH;75-79ansF;80-84ansH;80-84ansF;85-89ansH;85-89ansF;90-94ansH;90-94ansF;95+H;95+F;Y_LT5;Y5-9;Y10-14;Y15-19;Y20-24;Y25-29;Y30-34;Y35-39;Y40-44;Y45-49;Y50-54;Y55-59;Y60-64;Y65-69;Y70-74;Y75-79;Y80-84;Y85-89;YGE90
2B;2007;4051,217713;3705,738293;4109,010767;3900,754337;4330,547882;4104,459068;4863,783253;4449,559355;5004,139737;4401,345244;4742,649557;4538,193635;4936,287936;5054,295541;5735,090534;5834,405256;5675,404706;5967,25324;5692,742025;5822,121515;5483,649213;5486,899594;5436,460046;5474,771175;4691,044288;4865,932075;4179,85544;4199,197674;3434,516641;4113,158914;2835,330619;3587,391416;1840,964524;3089,339049;787,0362213;1845,820278;322,5817607;876,7504917;70,74208311;269,4927143;7756,956006;8009,765104;8435,00695;9313,342608;9405,484981;9280,843192;9990,583477;11569,49579;11642,65795;11514,86354;10970,54881;10911,23122;9556,976363;8379,053114;7547,675555;6422,722035;4930,303573;2632,856499;1539,56705
21;2007;15114,57652;14282,37592;15410,95939;14731,08108;15118,34933;14825,27314;17978,663;18152,21945;18723,93507;19823,05301;15822,62001;15858,62914;15767,67042;16242,70688;17577,32212;17993,64241;17782,81149;18006,6654;18114,20719;18236,66056;17551,55979;18226,34129;17163,84344;17818,73113;12703,0928;13140,77853;9992,153263;11248,99112;8913,390882;11392,78012;7837,772614;10745,89514;5320,324648;9159,604018;2580,793065;4977,61201;840,809414;2522,081349;212,0525405;1005,699588;29396,95244;30142,04047;29943,62247;36130,88245;38546,98808;31681,24915;32010,3773;35570,96453;35789,47689;36350,86775;35777,90108;34982,57457;25843,87133;21241,14438;20306,171;18583,66775;14479,92867;7558,405075;4580,642892
22;2007;16809,371;16115,75005;17802,01477;16632,52913;16969,36178;16232,01197;17472,44418;15858,45688;13607,51798;12277,19362;13718,48338;13616,72377;16248,88001;16550,38649;19067,97317;18529,91049;19089,50744;18344,05824;20065,91286;19815,42848;19681,12466;20045,31333;20374,73659;21717,90538;16066,53857;17484,91789;13888,07424;15899,42004;13510,34959;17332,4539;11017,24573;16656,90391;7839,514613;13714,0157;3148,153284;7184,45936;857,3210258;2933,904154;211,4999051;1139,742629;32925,12105;34434,5439;33201,37375;33330,90106;25884,7116;27335,20715;32799,2665;37597,88366;37433,56568;39881,34134;39726,43799;42092,64197;33551,45646;29787,49428;30842,80349;27674,14964;21553,53031;10332,61264;5142,467714
23;2007;2834,094961;2629,148569;3007,031463;2927,89872;2997,834575;2926,791072;3233,492612;3058,080522;2520,975582;2351,773699;2456,099358;2362,635405;3166,996817;3205,506376;3823,200777;3538,59654;4231,667635;4192,87803;4448,935537;4200,325632;4602,877815;4355,472644;5008,149222;4652,620473;3997,444222;3823,812333;3395,403118;3486,116816;3242,797258;4248,690946;3091,363831;4348,767573;2401,0238;3845,503378;1126,561702;1950,220278;343,219007;940,4577052;109,916365;484,1361221;5463,24353;5934,930183;5924,625647;6291,573134;4872,749281;4818,734763;6372,503193;7361,797317;8424,545665;8649,261169;8958,350459;9660,769695;7821,256555;6881,519934;7491,488204;7440,131404;6246,527178;3076,78198;1877,729199
24;2007;9725,597733;9705,357873;10535,13808;10206,116;10820,33238;10239,86079;11333,28479;10277,5729;8616,109791;8318,668029;9148,136417;8938,538663;10531,98651;10929,55579;12574,201;12826,97472;13701,74467;14112,96715;14404,59829;15059,75014;14448,73677;15156,25829;15438,20254;15806,34156;12458,99228;13070,01082;10578,32683;11934,05938;10588,9961;12221,16992;9419,937142;12405,63759;6602,98567;10456,29775;2946,389459;5663,816354;893,125758;2611,692473;241,1354096;1038,696974;19430,95561;20741,25408;21060,19317;21610,85769;16934,77782;18086,67508;21461,5423;25401,17572;27814,71182;29464,34843;29604,99506;31244,5441;25529,0031;22512,38621;22810,16602;21825,57473;17059,28342;8610,205813;4784,650615
25;2007;17207,92385;15696,15706;16636,94134;15620,69329;16234,77261;15789,23163;17751,30662;17484,19452;19043,93314;18405,24161;17299,71622;16354,41268;17449,84394;16965,47585;18441,45898;17782,47436;17558,046;18064,65928;17238,06528;17638,85884;16781,53002;17825,79279;16914,25964;16922,21502;12693,60348;12955,68926;10209,75153;11338,75013;9010,419718;11147,5024;7274,868738;10023,24915;4840,124738;7943,641392;2143,849133;4131,441981;589,3700767;1844,171403;144,817636;718,1926498;32904,08091;32257,63463;32024,00424;35235,50114;37449,17475;33654,1289;34415,31979;36223,93334;35622,70528;34876,92412;34607,32281;33836,47466;25649,29274;21548,50166;20157,92212;17298,11789;12783,76613;6275,291114;3296,551766
26;2007;14744,35856;14098,04934;14910,97874;14337,44597;15756,90418;14902,49187;15631,01965;14118,2682;12657,56484;12007,53824;12554,89315;13060,9351;13874,63938;14552,36901;16419,48762;16492,59174;16630,04077;17396,83558;16305,62899;17192,15458;15323,82752;16823,89559;16026,52594;16257,9096;12939,79119;13674,78318;10601,55501;11290,25789;8997,203459;11030,04606;7677,6782;10237,63306;5217,989398;8926,859965;2426,779418;4489,660743;769,9445513;2024,014407;132,9788086;762,8776379;28842,4079;29248,42471;30659,39605;29749,28785;24665,10308;25615,82825;28427,00839;32912,07936;34026,87635;33497,78357;32147,72311;32284,43554;26614,57437;21891,8129;20027,24952;17915,31126;14144,84936;6916,440161;3689,815405
27;2007;19391,57495;18540,3705;20258,33069;18986,3807;19612,32861;18980,82615;19942,79387;18143,42475;15753,97352;15320,16611;15721,39139;16259,09135;18683,3368;18675,03673;20932,00994;21333,42675;21118,22188;21278,59685;20191,10285;20319,13392;20092,23537;20077,02975;19393,56769;19722,18198;13972,58105;14416,75312;10772,67158;11487,92477;9364,286755;11364,83535;7399,013242;10540,56233;5258,11279;8335,447123;2064,856712;4609,348114;622,2844007;2109,506241;187,4092068;791,5119402;37931,94545;39244,71139;38593,15476;38086,21862;31074,13963;31980,48274;37358,37353;42265,43669;42396,81873;40510,23677;40169,26512;39115,74967;28389,33417;22260,59635;20729,12211;17939,57557;13593,55991;6674,204826;3710,711789
28;2007;14702,2242;13069,36762;14297,77836;13334,60901;13861,6427;13390,08927;13573,45735;12948,46464;12034,06594;11452,81676;12159,52383;12259,44174;13573,55972;13802,66078;15219,94381;15146,55351;14901,11747;14904,46464;14755,29054;15261,2137;14566,46381;14862,93213;14772,30586;14395,14952;10140,41156;10175,74196;8009,534174;8716,208649;7370,258661;8807,300024;6232,285262;8462,666947;4639,891909;6970,28487;2042,830831;3911,047499;741,2802707;1902,907048;148,5845796;741,6136922;27771,59182;27632,38737;27251,73197;26521,92199;23486,8827;24418,96557;27376,2205;30366,49732;29805,58211;30016,50424;29429,39594;29167,45538;20316,15352;16725,74282;16177,55869;14694,95221;11610,17678;5953,87833;3534,385591
29;2007;26828,28757;25480,23049;27011,95619;26449,01297;26424,13863;25171,96538;27957,4591;26734,67087;25801,33012;23468,50654;24884,86342;23397,36898;27496,85846;26594,93453;30580,64632;30027,11851;31389,77152;30478,23909;31623,92412;30846,55318;29753,09049;30790,72001;29825,77134;30536,0745;21719,36979;23113,91178;18711,31064;22504,71095;17628,82946;23925,15639;14755,43855;23335,50579;9861,117531;19363,49968;4064,735262;10137,0918;1235,644585;4153,22044;275,1664958;1275,913808;52308,51806;53460,96916;51596,10401;54692,12997;49269,83666;48282,2324;54091,79299;60607,76483;61868,01061;62470,4773;60543,8105;60361,84584;44833,28157;41216,02159;41553,98585;38090,94434;29224,61721;14201,82706;6939,945329
